category,cardName,hue,rgb,lightness,hue2
Mother,mother-in-law-spanish-mothers-day-card,4.224864989865743,"[238.7128578479763, 134.49160908193485, 126.77541954590326]",71.66436811644698,4.135983270516928
Mother,makes-a-difference-mothers-day-card,4.226747385801748,"[243.134359559103, 242.80881793994678, 242.78411250475105]",95.27813177722628,4.232230059682229
Boy,lightning-mcqueen-birthday-card,4.2481858025578365,"[61.28740824392998, 191.90767927724448, 225.03585544889893]",56.14181641035862,192.13868347594902
Father,the-walking-dead-daryl-dixon-tough-guy-kind-heart-fathers-day-card-root-559fd3173,4.255032047677953,"[248.3796638655462, 243.88100840336134, 232.97714285714287]",94.38368759268414,42.47563969665559
Mother,pink-watercolor-flowers-and-polka-dots-birthday-card-for-mom-root-399fbd8249,4.267384028942604,"[248.13540674918016, 232.59282767375436, 231.82947212525124]",94.11076056361401,2.8088750486569984
Mother,marjolein-bastin-this-day-is-for-you-mothers-day-card,4.280898876404196,"[245.3270765592669, 243.85101980490688, 243.61350872007094]",95.8707029959486,8.316370536483772
Wife,pink-roses-valentines-day-card-for-wife-root-779vee3296,4.366481181084578,"[148.45951962507323, 42.6439367311072, 34.33884007029877]",35.84281562654353,4.366481181084578
Brother,mod-flowers-birthday-card-for-brother,4.372987167418123,"[72.17777777777778, 35.754599761051374, 34.20215053763441]",20.858809473610233,2.4528088190878856
Father,elephant-dad-love-from-kid-root-399vkd2817,4.3740161416709515,"[74.3927591881514, 37.94048272078991, 35.07414518193454]",21.464098896095287,4.3740161416709515
Mother,blue-and-pink-with-flowers-mothers-day-card,4.473020405979794,"[241.57278542353168, 197.61853072300835, 193.99864314789687]",85.406162464986,4.565363538207689
Husband,whoops-birthday-card-root-349zzb2239,4.4739796034194415,"[247.60629292445296, 240.23414789969652, 227.1023798115317]",93.08013190901659,38.427108081791616
Daughter,daughter-love-checklist-valentines-day-card-root-429vee2465,4.481783397105317,"[242.8015526443474, 232.99542524433355, 224.85291467387538]",91.69695437612214,27.2193709088803
Father,talking-beer-funny-sound-light-fathers-day-card,4.519518747255269,"[29.666262870987282, 66.67938623056733, 100.9147991116495]",25.604129800517022,208.83041366529326
Grandson,youre-cutie-first-valentines-day-card,4.554506720651585,"[225.27530886962936, 94.11063986723217, 82.72727272727273]",60.392663058216094,4.79138153622461
Any+Woman,all-youve-done-in-your-amazing-life-birthday-card-root-699hbd2557,4.5574162679380725,"[245.36351819757365, 245.12781629116117, 245.11048526863084]",96.17137322866756,4.10958904109966
Mother,lifes-important-lessons-birthday-card,4.606972568632673,"[142.47381023645616, 91.55537264292128, 87.32445375636037]",45.05848313584639,4.603047966394215
Niece,a-day-for-smiling-and-wishing-birthday-card-for-niece-root-459fbd1262,4.625605796174376,"[226.68954758190327, 157.74258970358815, 152.03952158086324]",74.26060179662089,4.5838441818992575
Mother,thanks-spanish-mothers-day-card,4.685845815726237,"[244.66403162055337, 189.31995007281049, 184.57873933846474]",84.16524920765059,4.734480490253791
Any+Woman,youre-a-gift-from-the-lord-birthday-card-root-499cey1633,4.749400328241618,"[181.63493016969514, 175.44330980627723, 174.27541672923863]",69.7863425292027,9.521496929010203
Father,good-dudes-make-great-dads-fathers-day-card,4.769861056437625,"[207.19347396176664, 82.32399472643375, 71.52373104812129]",54.65043235487998,4.776421085364729
Mother,religious-spanishlanguage-mothers-day-card-root-599mth7915,4.8544630613644175,"[196.34678819444446, 47.89149305555556, 34.856119791666664]",45.33390352668845,4.843142972711113
Daughter,words-to-carry-in-your-heart-wedding-card-for-daughter-root-399w2384,4.928151151325723,"[221.47263820853743, 188.50930720783765, 185.50818754373688]",79.80016191221064,5.0068102394869385
Granddaughter,pink-tiered-cake-birthday-card-for-granddaughter-root-699fbd2461,4.945860909966241,"[252.11704615384616, 195.61526153846154, 194.21993846153845]",87.51705580693815,1.4460028825672735
Girl,shine-on-money-holder-bat-mitzvah-card-root-259jwr1142,5.033099034509713,"[239.90435003815824, 163.55660137369625, 156.56575934876622]",77.73923713469108,5.03308872907534
Mother,motherinlaw-frenchlanguage-mothers-day-card-from-daughterinlaw-root-799msq4732,5.065283325578738,"[111.56086956521739, 191.7328502415459, 196.26956521739132]",60.358908780903654,183.21339971599176
Any+Woman,cake-stand-wishes-for-love-and-happiness-birthday-card-root-599hbd4279,5.200494869368944,"[233.9128845568078, 226.82774901005178, 226.4236978373439]",90.26207497924544,3.2370765038433382
Wife,the-road-beside-me-anniversary-card-wife,5.265237712401366,"[247.81472412667318, 226.2639569049951, 224.1779301338557]",92.54757926677036,5.2952023149330705
Wife,my-blessing-spanish-valentine-card-wife,5.4142480211077535,"[245.81579837618403, 243.48291610284167, 243.25152232746956]",95.89555307914776,5.4142480211077535
Wife,time-makes-you-more-beautiful-spanishlanguage-wife-birthday-card-root-459fbd2835,5.4224280557901725,"[245.04920483892892, 235.52303928231615, 224.47967921707217]",92.06448706980413,32.21278001718098
Mother,so-lucky-and-so-happy-musical-mothers-day-card-root-559mej4202,5.4793967048660654,"[252.19671226154696, 211.00466171870207, 203.19499478623567]",89.2924915779966,9.562522296980113
Wife,dancing-couple-anniversary-card-for-wife,5.539612279364394,"[249.2124088828615, 224.0533988811663, 210.75199186302763]",90.18909818546844,20.750799989421637
Girl,disney-minnie-mouse-wish-bigger-birthday-card-root-359hkb4758,5.553483793016045,"[243.2893653887806, 217.04505089885208, 214.49664284167207]",89.76196239812796,5.3105253655895215
Boy,sound-the-alarm-birthday-card-root-359hkb4666,5.607937291873468,"[228.83489884393063, 50.70736994219653, 32.41233140655106]",51.224947107937595,5.588473495993176
Father,gold-and-green-chevron-fathers-day-card,5.672490739904243,"[194.3269887750122, 177.53831137140068, 101.82869692532942]",58.069742294184636,49.10984598663001
Father,star-wood-screen-birthday-card,5.673750936308662,"[78.84415204678362, 43.32280701754386, 39.61301169590643]",23.22689485150785,5.673750936308662
Mother,simply-wonderful-birthday-card-for-mom-root-529fbd4028,5.723431960601848,"[253.51390420899855, 120.19477503628447, 111.65683599419448]",71.6021059221947,3.6112147880407015
Granddaughter,dazzle-birthday-card-granddaughter,5.746911799930578,"[83.64067576348278, 43.468052848169805, 39.2425817630496]",24.09475637775145,5.710341194032763
Grandfather,grandpa-thanks-valentines-day-card-root-299vee1114,5.794467111788403,"[172.76370380546777, 43.999313092457754, 30.234647616430827]",39.803598318019326,5.794467111788404
Grandson,raccoon-cowboy-1st-birthday-card-for-grandson-root-299hkb3499,5.822296889924602,"[243.5222915398661, 234.52358490566039, 207.6707242848448]",88.46921878915899,44.94006149823974
